Ticker,Date,Open,High,Low,Close,Volume
TLT,2005/2/24,91.16,91.33,90.56,90.56,798500
TLT,2005/2/25,90.89,91.14,90.62,91,588800
TLT,2005/2/28,91.1,91.1,89.89,90.02,2797400
TLT,2005/3/1,89.54,89.86,89.45,89.71,1648500
TLT,2005/3/2,89.45,89.72,89.42,89.59,1139300
TLT,2005/3/3,89.62,89.8,89.45,89.54,1600600
TLT,2005/3/4,89.99,90.67,89.87,90.51,1567000
TLT,2005/3/7,90.85,90.99,90.75,90.87,889800
TLT,2005/3/8,90.13,90.27,89.94,90.01,680400
TLT,2005/3/9,89.18,89.4,88.44,88.54,2549600
TLT,2005/3/10,88.74,89.33,88.39,89.08,1357700
TLT,2005/3/11,88.65,88.87,88.4,88.43,1017900
TLT,2005/3/14,88.37,89,88.3,88.96,805000
TLT,2005/3/15,89.29,89.3,88.4,88.4,963900
TLT,2005/3/16,88.54,89.36,88.54,88.94,2097800
TLT,2005/3/17,89.35,89.58,89.12,89.23,1025300
TLT,2005/3/18,88.9,88.98,88.67,88.67,723300
TLT,2005/3/21,88.67,88.67,88.38,88.42,898100
TLT,2005/3/22,88.94,89.05,87.54,87.67,2545000
TLT,2005/3/23,87.53,88.16,87.53,88.09,1951700
TLT,2005/3/24,88.32,88.46,88.18,88.27,746800
TLT,2005/3/28,87.99,88,87.72,87.73,382200
TLT,2005/3/29,88.08,88.28,87.99,88.25,1135000
TLT,2005/3/30,88.2,88.75,88.16,88.69,1098200
TLT,2005/3/31,89.2,89.39,88.86,89.33,2410900
TLT,2005/4/1,89.53,89.66,88.5,89.3,2806300
TLT,2005/4/4,89.28,89.66,89.17,89.28,754900
TLT,2005/4/5,89.24,89.36,88.93,89.05,733300
TLT,2005/4/6,89.41,89.44,89.2,89.36,402800
TLT,2005/4/7,89.3,89.58,88.61,88.64,973000
TLT,2005/4/8,88.56,89,88.34,88.95,438600
TLT,2005/4/11,88.97,89.62,88.94,89.43,1460200
TLT,2005/4/12,89.23,90.4,89.12,90.26,1931600
TLT,2005/4/13,90.35,90.44,89.8,90.04,1001700
TLT,2005/4/14,90.08,90.12,89.66,89.9,1462100
TLT,2005/4/15,90.54,91.12,90.22,91.09,2957300
TLT,2005/4/18,91.37,91.39,90.94,91.02,3510900
TLT,2005/4/19,91.34,92.04,91.32,91.9,1842600
TLT,2005/4/20,91.22,91.77,91.18,91.67,1617900
TLT,2005/4/21,91.3,91.42,90.7,90.71,1388500
TLT,2005/4/22,91.27,91.58,91.09,91.47,976300
TLT,2005/4/25,91.66,91.82,91.51,91.74,818300
TLT,2005/4/26,91.99,92.05,91.34,91.6,549300
TLT,2005/4/27,92.05,92.2,91.8,91.92,684900
TLT,2005/4/28,92.05,92.65,91.95,92.6,1062000
TLT,2005/4/29,92.57,92.94,92.22,92.44,1450800
TLT,2005/5/2,92.15,92.26,91.71,92.09,1358200
TLT,2005/5/3,92.07,92.54,91.92,92.34,1890000
TLT,2005/5/4,91.45,91.72,91.05,91.53,2212500
TLT,2005/5/5,91.3,91.84,91.21,91.74,1757900
TLT,2005/5/6,90.93,91.2,90.81,91.06,850600
TLT,2005/5/9,91.01,91.24,91,91.15,327800
TLT,2005/5/10,91.36,91.8,91.34,91.8,495500
TLT,2005/5/11,92.14,92.52,91.99,92.08,1058700
TLT,2005/5/12,92,92.47,91.72,92.44,657000
TLT,2005/5/13,92.71,93.02,92.57,92.8,1698100
TLT,2005/5/16,93.04,93.07,92.68,92.69,825000
TLT,2005/5/17,92.96,93.19,92.9,92.95,856300
TLT,2005/5/18,93.7,93.8,93.34,93.57,1092300
TLT,2005/5/19,93.7,93.7,93.28,93.33,948800
TLT,2005/5/20,93.25,93.51,93.21,93.44,806800
TLT,2005/5/23,93.6,94.23,93.57,94.17,905600
TLT,2005/5/24,94.53,94.65,94.18,94.43,1695400
TLT,2005/5/25,94.59,94.65,93.73,93.77,1923300
TLT,2005/5/26,93.59,94.07,93.59,93.74,978300
TLT,2005/5/27,93.74,93.98,93.54,93.84,650600
TLT,2005/5/31,94.22,95.05,94.22,95,1979000
TLT,2005/6/1,95.2,95.84,95.19,95.81,3823200
TLT,2005/6/2,95.73,96.19,95.73,96.04,1854100
TLT,2005/6/3,96.9,97,95.2,95.25,5559000
TLT,2005/6/6,95.5,95.88,95.35,95.75,1088700
TLT,2005/6/7,96.47,96.58,96.05,96.51,1503300
TLT,2005/6/8,96.31,96.45,96.05,96.05,1272400
TLT,2005/6/9,95.67,96.01,95.43,95.97,612700
TLT,2005/6/10,95.55,95.55,94.86,94.89,1464800
TLT,2005/6/13,94.48,94.53,94.17,94.32,1617700
TLT,2005/6/14,94.05,94.16,93.57,93.7,2139300
TLT,2005/6/15,93.39,93.87,93.33,93.87,2000200
